pollutantCode,Facility_INSPIRE_ID,parentCompanyName,nameOfFeature,countryCode,NUTSRegionSourceCode,NUTSRegionSourceName,city,pointGeometryLat,pointGeometryLon,mainActivityCode,mainActivityName,reportingYear,totalPollutantQuantityKg,methodCode,methodName,rn,emissions_tco2,geometry
CO2,HR.CAED/000000052.FACILITY,CEMEX HRVATSKA D.D.,"TVORNICA CEMENTA ""SVETI JURAJ""",HR,HR035,Splitsko-dalmatinska županija,Kaštel Sućurac,43.54171,16.44352,3(c)(i),Installations for the production of cement clinker in rotary kilns,2024,544000000,C,Calculated: calculation method used,1,544000,POINT (16.44352 43.54171)
CO2,HR.CAED/000000050.FACILITY,Holcim (Hrvatska) d.o.o.,Proizvodnja cementa Koromačno,HR,HR036,Istarska županija,Koromačno,44.96732,14.12122,3(c)(i),Installations for the production of cement clinker in rotary kilns,2024,314000000,M,Measured: analytical method used,1,314000,POINT (14.12122 44.96732)
CO2,HR.CAED/000000019.FACILITY,HEP-PROIZVODNJA d.o.o.,TE Plomin,HR,HR036,Istarska županija,Plomin,45.13794,14.16465,1(c),Thermal power stations and other combustion installations,2024,680000000,C,Calculated: calculation method used,1,680000,POINT (14.16465 45.13794)
CO2,HR.CAED/000000067.FACILITY,"INA-Industrija nafte, d.d.",Rafinerija nafte Rijeka,HR,HR031,Primorsko-goranska županija,Kostrena,45.28543,14.5342,1(a),Mineral oil and gas refineries,2024,664000000,C,Calculated: calculation method used,1,664000,POINT (14.5342 45.28543)
CO2,IT.CAED/000531001.FACILITY,TIRRENO POWER S.p.A.,CENTRALE TORREVALDALIGA SUD,IT,ITI43,Roma,CIVITAVECCHIA,42.1231,11.7654,1(c),Thermal power stations and other combustion installations,2023,187297000,C,Calculated: calculation method used,1,187297,POINT (11.7654 42.1231)
CO2,IT.CAED/000531002.FACILITY,Enel Produzione S.p.A. - Torrevaldaliga Nord,Centrale Torrevaldaliga Nord,IT,ITI43,Roma,CIVITAVECCHIA,42.1275,11.7586,1(c),Thermal power stations and other combustion installations,2023,3339651000,C,Calculated: calculation method used,1,3339651,POINT (11.7586 42.1275)
CO2,IT.CAED/570161004.FACILITY,ENGIE PRODUZIONE SPA,ENGIE PRODUZIONE SPA,IT,ITI16,Livorno,ROSIGNANO MARITTIMO,43.3816,10.4494,1(c),Thermal power stations and other combustion installations,2023,724356101,C,Calculated: calculation method used,1,724356.101,POINT (10.4494 43.3816)
CO2,IT.CAED/570161001.FACILITY,COGENERATION ROSIGNANO S.p.A. (ex- Solvay Chimica Italia S.p.A.; ex-Rosen),CENTRALE DI COGENERAZIONE (ex-Solvay Chimica Italia S.p.A.; ex-Rosen),IT,ITI16,Livorno,ROSIGNANO MARITTIMO,43.3822,10.4494,1(c),Thermal power stations and other combustion installations,2023,675566700,C,Calculated: calculation method used,1,675566.7,POINT (10.4494 43.3822)
CO2,IT.CAED/520221001.FACILITY,Enel Produzione S.p.A.,Impianto Termoelettrico di Santa Barbara,IT,ITI18,Arezzo,CAVRIGLIA,43.5643,11.4777,1(c),Thermal power stations and other combustion installations,2023,725551882.4,C,Calculated: calculation method used,1,725551.8824,POINT (11.4777 43.5643)
CO2,IT.CAED/570171001.FACILITY,Eni S.p.A.,Eni S.p.A. Raffineria di Livorno,IT,ITI16,Livorno,LIVORNO,43.5872,10.3365,1(a),Mineral oil and gas refineries,2023,553245790,C,Calculated: calculation method used,1,553245.79,POINT (10.3365 43.5872)
